id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
103,"Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman","Atmospheric and space scientists    ",Science,10.4,11.7,12,0.9,"92,070","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
104,"Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator","Construction managers    ","Skilled Labor - Trades",403.8,448.6,11.1,33.2,"91,370","80,000-99,000","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
105,"Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist","Biochemists and biophysicists    ",Science,31.5,35.1,11.5,3.2,"91,190","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
106,"Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer","Marine engineers and naval architects    ",Engineering,8.2,9.2,11.5,0.6,"90,970","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
107,"Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Advisor* Personal Financial Planner* Personal Investment Adviser","Personal financial advisors    ",Business,271.9,312.3,14.9,25.5,"90,640","80,000-99,000","Bachelor's degree",3,None,4,"Long-term on-the-job training",3,NULL,NULL
108,"Veterinarians    * Animal Pathologist* Animal Surgeon* Doctor of Veterinary Medicine* Doctor of Veterinary Medicine (DVM)* Equine Veterinarian* Large Animal Veterinarian* Poultry Pathologist* Public Health Veterinarian* Small Animal Veterinarian* Veterinary Medicine Scientist* Wildlife Veterinarian","Veterinarians    ",Medical,79.6,94.6,18.8,4.5,"90,420","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
109,"Geoscientists, except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist",Geoscientists,Science,32,36.5,14,3.5,"89,850","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
110,"Computer occupations, all other    * Computer Laboratory Technician","Computer occupations","Information Technology",287.2,313.8,9.3,22.4,"88,510","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
111,"Health and safety engineers, except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer","Health and safety engineers",Engineering,25.9,28.1,8.6,1.9,"88,510","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
112,"Computer systems analysts    * Applications Analyst* Computer Systems Analyst* Computer Systems Consultant* Data Processing Systems Analyst* Information Systems Analyst* Information Systems Planner* Programmer Analyst* Systems Architect","Computer systems analysts    ","Information Technology",600.5,654.9,9.1,44.9,"88,270","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
113,"Biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer","Biomedical engineers    ",Engineering,21.3,22.8,7.2,1.6,"88,040","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
114,"First-line supervisors of police and detectives    * Commanding Officer Homicide Squad* Detective Lieutenant* Detective Supervisor* Police Lieutenant* Traffic Lieutenant* Traffic Sergeant","First-line supervisors of police and detectives    ",Government,104.7,111.6,6.6,7.1,"87,910","80,000-99,000","High school diploma or equivalent",7,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
115,"Forestry and conservation science teachers, postsecondary    * Ecology Professor* Environmental Conservation Professor* Forest Biometrics Professor* Forest Ecology Professor* Forest Management Professor* Forest Pathology Professor* Forest Resources Professor* Forest Technology Professor* Silviculture Professor* Timber Management Professor* Wildlife Conservation Professor","Forestry and conservation science teachers",Education,2.2,2.3,7.8,0.2,"87,420","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
116,"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor",Atmospheric,Education,13.1,14.4,9.5,1.2,"87,380","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
117,"Physics teachers, postsecondary    * Aerodynamics Professor* Astrophysics Professor* Atomic Physics Professor* Ballistics Professor* Hydrodynamics Professor* Medical Physics Professor* Nuclear Physics Professor* Physical Science Professor* Thermodynamics Professor","Physics teachers",Education,17.6,19.4,10,1.6,"87,340","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
118,"Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist","Industrial-organizational psychologists    ",Medical,1.7,1.8,8.4,0.1,"87,100","80,000-99,000","Master's degree",2,None,4,Internship/residency,1,NULL,NULL
119,"Database administrators    * Automatic Data Processing Planner* DBMS Specialist* Database Administration Manager* Database Coordinator* Database Management System Specialist* Database Security Administrator","Database administrators    ","Information Technology",119.5,133.2,11.5,9.3,"87,020","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
120,"Physical therapists    * Cardiopulmonary Physical Therapist* Geriatric Physical Therapist* Orthopedic Physical Therapist* PT* Pediatric Physical Therapist* Physical Therapist* Physiotherapist* Pulmonary Physical Therapist* Sports Physical Therapist","Physical therapists    ",Medical,239.8,306.9,28,17.7,"86,850","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
121,"Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer","Environmental engineers    ",Engineering,53.8,58.3,8.3,4,"86,800","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
122,"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor","Agricultural sciences teachers",Education,12.6,13.6,7.5,1.1,"86,140","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
123,"Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer","Industrial engineers    ",Engineering,257.9,283,9.7,19.7,"85,880","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
124,"Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Mechanical Engineer* Tool Engineer* Tool and Die Engineer","Mechanical engineers    ",Engineering,288.8,314.1,8.8,21.2,"85,880","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
125,"Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer","Civil engineers    ",Engineering,303.5,335.7,10.6,25.9,"84,770","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
